supplement_name,category,description,used_for,benefits,how_it_works,recommended_dosage,recommended_timing,bioavailability_notes,clinical_description,tags,source_url,notes
Roselle,Metabolic Health,Hibiscus Sabdariffa (Roselle or Sour Tea) is a tea where the usually dark colored flowers are used to brew.,Metabolic Health,"Human evidence appears limited, so treat benefits as uncertain.","Roselle may affect metabolic signaling, glucose handling, or lipid-related pathways.","When using Hibiscus Sabdariffa as a tea, a dried calyx (the part of the blooming top of a flower that is not the petals, but beneath them) weighing about a gram is steeped into tea; drunk either once in the morning or twice a day with 8 hours between doses. Supplemental Hibiscus Sabdariffa is taken according to the content of anthocyanins;","Daily, following dosage notes.",,"Hibiscus Sabdariffa (Roselle or Sour Tea) is a tea where the usually dark colored flowers are used to brew. Human evidence appears limited, so treat benefits as uncertain. Roselle may affect metabolic signaling, glucose handling, or lipid-related pathways. Check pregnancy/lactation safety before client use. Evidence appears limited; human review recommended.",metabolic-health;blood-sugar;hormones;heart-health;experimental,https://examine.com/supplements/roselle/,Check pregnancy/lactation safety before client use. Evidence appears limited; human review recommended.
Rosemary Oil,General Health,Rosemary Oil is an essential oil that is derived from the rosemary plant.,General Health,Potential benefits are context-specific; review the source evidence before using Rosemary Oil in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Rosemary Oil clinically.,No clear public dosage summary extracted; review source before use.,,,Rosemary Oil is an essential oil that is derived from the rosemary plant. Potential benefits are context-specific; review the source evidence before using Rosemary Oil in a protocol. Mechanism details are not clear from the public summary; review the source before applying Rosemary Oil clinically. Check pregnancy/lactation safety before client use.,general-health,https://examine.com/supplements/rosemary-oil/,Check pregnancy/lactation safety before client use.
Rosmarinic Acid,General Health,"Rosmarinic Acid is a polyphenol similar to caffeic acid (found in coffee) and is in high levels in Perilla Oil and Rosemary, from which it draws its name.",General Health,Potential benefits are context-specific; review the source evidence before using Rosmarinic Acid in a protocol.,Rosmarinic Acid is discussed in relation to oxidative-stress or inflammatory pathways.,A standard dose is 200-300mg active Rosmarinic acid (check source for extract percentage) for oral ingestion.,,,"Rosmarinic Acid is a polyphenol similar to caffeic acid (found in coffee) and is in high levels in Perilla Oil and Rosemary, from which it draws its name. Potential benefits are context-specific; review the source evidence before using Rosmarinic Acid in a protocol. Rosmarinic Acid is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.",general-health;cognition;exercise;inflammation;hormones,https://examine.com/supplements/rosmarinic-acid/,Paraphrased from public Examine page extraction; educational only.
Royal Jelly,General Health,"Royal jelly is a nutritious jelly with a composition similar to pollen, created by worker bees.",General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Royal Jelly clinically.,More research is needed to determine an optimal dosage for royal jelly. Researchers have observed benefits when using 50-300mg doses. A 6g daily dose has also been shown to provide benefits.,"Daily, following dosage notes.",,"Royal jelly is a nutritious jelly with a composition similar to pollen, created by worker bees. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Royal Jelly clinically. Paraphrased from public Examine page extraction; educational only.",general-health;lipids;hormones;heart-health,https://examine.com/supplements/royal-jelly/,Paraphrased from public Examine page extraction; educational only.
Rutin,General Health,"Rutin is a flavonoid that is found in plant foods, such as apples, buckwheat, and figs.",General Health,Potential benefits are context-specific; review the source evidence before using Rutin in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Rutin clinically.,No clear public dosage summary extracted; review source before use.,,,"Rutin is a flavonoid that is found in plant foods, such as apples, buckwheat, and figs. Potential benefits are context-specific; review the source evidence before using Rutin in a protocol. Mechanism details are not clear from the public summary; review the source before applying Rutin clinically. Check pregnancy/lactation safety before client use.",general-health,https://examine.com/supplements/rutin/,Check pregnancy/lactation safety before client use.
S-Adenosylmethionine,Mental Health,S-Adenosylmethionine (SAMe) is a metabolite in the body that helps to maintain several important biological reactions.,Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying S-Adenosylmethionine clinically.,"Formulations: Tablets taken orally, or liquid injected intravenously or intramuscularly. Range of dosages studied: 45 to 3,200 milligrams per day (mg/day). Dosage recommendation: In some studies, the dosage range that has been found to improve depression is approximately 200 to 1,600 mg per day. In some studies,","Daily, following dosage notes.",,S-Adenosylmethionine (SAMe) is a metabolite in the body that helps to maintain several important biological reactions. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying S-Adenosylmethionine clinically. Paraphrased from public Examine page extraction; educational only.,mental-health;hormones,https://examine.com/supplements/s-adenosyl-methionine/,Paraphrased from public Examine page extraction; educational only.
Sacred Lotus,General Health,Nelumbo nucifera (a flower commonly called Indian lotus or sacred lotus) is sometimes used in Asiatic dishes.,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Sacred Lotus clinically.,Not enough information is currently known to suggest an optimal dosage of Nelumbo nucifera for the purpose of supplementation.,,,Nelumbo nucifera (a flower commonly called Indian lotus or sacred lotus) is sometimes used in Asiatic dishes. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Sacred Lotus clinically. Paraphrased from public Examine page extraction; educational only.,general-health;hormones,https://examine.com/supplements/sacred-lotus/,Paraphrased from public Examine page extraction; educational only.
Safed Musli,General Health,Chlorophytum borivilianum (safed musli) is a Rasayana herb from Indian medicine that is supposedly used as an aphrodisiac and adaptogen.,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Safed Musli clinically.,"No human studies have been conducted to properly assess how much safed musli to use for the effects listed above. Rat studies have used a range of 100 to 200 mg of safed musli per kilogram of body weight (mg/kg), which converts to a preliminary dose of 16 to 32 mg/kg in humans (a dose of 1.1 to 2.2 grams for a 150 lb human).",,,Chlorophytum borivilianum (safed musli) is a Rasayana herb from Indian medicine that is supposedly used as an aphrodisiac and adaptogen. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Safed Musli clinically. Paraphrased from public Examine page extraction; educational only.,general-health,https://examine.com/supplements/safed-musli/,Paraphrased from public Examine page extraction; educational only.
Saffron,Metabolic Health,Saffron is a spice with antioxidant properties derived from the flowering plant Crocus sativus.,Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Saffron is discussed in relation to oxidative-stress or inflammatory pathways.,"Saffron is usually taken at a dosage of 15 mg twice daily, for a total of 30 mg daily. While higher doses have been used, there is no clear benefit to this, and there may be an increased risk of side effects. Doses above 5 grams (5,000 mg) are considered toxic and doses above 20 grams (20,000 mg) may be lethal.[1] Saffron supplements usually contain saffron stigma extract, which is the most studied form. However,","Daily, following dosage notes.",,Saffron is a spice with antioxidant properties derived from the flowering plant Crocus sativus. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Saffron is discussed in relation to oxidative-stress or inflammatory pathways. Check pregnancy/lactation safety before client use.,metabolic-health;blood-sugar;cognition;exercise;hormones;heart-health,https://examine.com/supplements/saffron/,Check pregnancy/lactation safety before client use.
Sage,Immune & Inflammation,"Sage, also known as Salvia officinalis, is an herbal supplement that is used for a variety of ailments, such as pain, inflammation, infections, and more.",Immune & Inflammation,Potential benefits are context-specific; review the source evidence before using Sage in a protocol.,Sage is discussed in relation to oxidative-stress or inflammatory pathways.,No clear public dosage summary extracted; review source before use.,,,"Sage, also known as Salvia officinalis, is an herbal supplement that is used for a variety of ailments, such as pain, inflammation, infections, and more. Potential benefits are context-specific; review the source evidence before using Sage in a protocol. Sage is discussed in relation to oxidative-stress or inflammatory pathways. Check pregnancy/lactation safety before client use.",immune-inflammation;inflammation,https://examine.com/supplements/sage/,Check pregnancy/lactation safety before client use.
Salacia reticulata,General Health,"Salacia reticulata is a medicinal herb from Ayurveda that appears to have antidiabetic activities, namely, by inhibiting carbohydrate uptake from the intestines; it appears quite effective and is similar to acarbose in potency.",General Health,Potential benefits are context-specific; review the source evidence before using Salacia reticulata in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Salacia reticulata clinically.,"Supplementation with Salacia herbs (reticulata or oblonga) seem to be effective in humans when it is taken at the oral dose of 240 to 1,000 mg; the higher dose is used more frequently for the purpose of reducing glucose absorption form the intestines. Because this supplement acts as a carbohydrate absorption inhibitor, it needs to be taken alongside dietary carbohydrates.",,,"Salacia reticulata is a medicinal herb from Ayurveda that appears to have antidiabetic activities, namely, by inhibiting carbohydrate uptake from the intestines; it appears quite effective and is similar to acarbose in potency. Potential benefits are context-specific; review the source evidence before using Salacia reticulata in a protocol. Mechanism details are not clear from the public summary; review the source before applying Salacia reticulata clinically.",general-health;blood-sugar;cognition;exercise;hormones,https://examine.com/supplements/salacia-reticulata/,Paraphrased from public Examine page extraction; educational only.
Salidrosides,Mental Health,"Salidrosides is a compound found in the popular supplement, Rhodiola rosea.",Mental Health,Potential benefits are context-specific; review the source evidence before using Salidrosides in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Salidrosides clinically.,No clear public dosage summary extracted; review source before use.,,,"Salidrosides is a compound found in the popular supplement, Rhodiola rosea. Potential benefits are context-specific; review the source evidence before using Salidrosides in a protocol. Mechanism details are not clear from the public summary; review the source before applying Salidrosides clinically. Check pregnancy/lactation safety before client use.",mental-health;cognition,https://examine.com/supplements/salidrosides/,Check pregnancy/lactation safety before client use.
Sarcosine,Mental Health,Sarcosine is a product of glycine. It can be used as a cognitive enhancer and to treat schizophrenia.,Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Sarcosine clinically.,"The standard sarcosine dose is 30mg/kg of bodyweight, which correlates to an approximate dosage range of 2,045 – 2,727mg for people between 150 – 200 lbs. Sarcosine is taken daily.","Daily, following dosage notes.",,Sarcosine is a product of glycine. It can be used as a cognitive enhancer and to treat schizophrenia. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Sarcosine clinically. Paraphrased from public Examine page extraction; educational only.,mental-health;cognition;hormones,https://examine.com/supplements/sarcosine/,Paraphrased from public Examine page extraction; educational only.
Saw Palmetto,General Health,Saw Palmetto is a fatty acid mix from Serenoa repens that has been touted for its abilities to increase testosterone (not effective) and suppress prostate growth (questionable effectiveness); safe for use in benign prostatic hyperplasia and abnormal urine flow,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Saw Palmetto clinically.,"While the active compound(s) are not yet known, it is known that they exist in what is known as the ""liposterolic"" fraction of the fruits. If using saw palmetto, choose a product that discloses the percentage of the supplement which is this fraction. Supplementation of saw palmetto tends to be in the range of 160-320 mg, taken once daily, of a product which is 80-90% liposterolic compounds by weight.","Daily, following dosage notes.",,Saw Palmetto is a fatty acid mix from Serenoa repens that has been touted for its abilities to increase testosterone (not effective) and suppress prostate growth (questionable effectiveness); safe for use in benign prostatic hyperplasia and abnormal urine flow Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Saw Palmetto clinically.,general-health;hormones,https://examine.com/supplements/saw-palmetto/,Paraphrased from public Examine page extraction; educational only.
Schisandra,Mental Health,Schizandra berries have been used traditionally as performance enhancers and as an adaptogen.,Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Schisandra clinically.,"Clinical trials done in the West are lacking or confounded, and thus optimum doses cannot really be extrapolated from these. The best estimate at this moment in time may be falling back on traditional preparation methods, which are various: Dried fruit extract in a 1:6 w/v ratio against liquid (95% ethanol) and administered at 20-30 drops daily Dried fruit extract in a 1:20 w/v ratio against water,","Daily, following dosage notes.",,Schizandra berries have been used traditionally as performance enhancers and as an adaptogen. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Schisandra clinically. Paraphrased from public Examine page extraction; educational only.,mental-health;stress;cognition;exercise;hormones,https://examine.com/supplements/schisandra/,Paraphrased from public Examine page extraction; educational only.
Sea Buckthorn,Immune & Inflammation,Sea buckthorn (Hippophae rhamnoides) is a plant whose leaves are sometimes supplemented (or the berries consumed as juice) for general antiinflammatory and antioxidative purposes.,Immune & Inflammation,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Sea Buckthorn is discussed in relation to oxidative-stress or inflammatory pathways.,"Sea buckthorn is supplemented as either a dry plant extract (of which both the berries and the leaves are viable options) or as an oil made from the berries. When supplementing dry extracts, the range of 500-2,000mg is used for both the berry extracts and the leaf extracts. For the oil, slightly higher dosage ranges (2,000-5,000mg) are used daily.","Daily, following dosage notes.",,Sea buckthorn (Hippophae rhamnoides) is a plant whose leaves are sometimes supplemented (or the berries consumed as juice) for general antiinflammatory and antioxidative purposes. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Sea Buckthorn is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.,immune-inflammation;inflammation;heart-health,https://examine.com/supplements/sea-buckthorn/,Paraphrased from public Examine page extraction; educational only.
Selenium,Micronutrient,"Selenium is an essential mineral that’s required for many important biological functions, including antioxidant defense and the regulation of thyroid hormones.",Micronutrient,Potential benefits are context-specific; review the source evidence before using Selenium in a protocol.,Selenium is discussed in relation to oxidative-stress or inflammatory pathways.,"Formulation Selenium supplements can be taken orally and come in various forms, including selenomethionine, sodium selenate, sodium selenite, and selenium-enriched yeast. In some studies selenium was given as a selenium-enriched food. Range of dosages studied Dosages of selenium used in studies have ranged from 50 μg to 800 μg daily, and durations have spanned up to 7 years.","Daily, following dosage notes.",,"Selenium is an essential mineral that’s required for many important biological functions, including antioxidant defense and the regulation of thyroid hormones. Potential benefits are context-specific; review the source evidence before using Selenium in a protocol. Selenium is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.",micronutrient;hormones,https://examine.com/supplements/selenium/,Paraphrased from public Examine page extraction; educational only.
Senna,Gut Health,Senna alexandrina is a plant containing sennosides which possess laxative properties.,Gut Health,Potential benefits are context-specific; review the source evidence before using Senna in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Senna clinically.,"In accordance with clinical usage, the correct dose is the ""lowest dose required to produce the desired effects (soft-formed and comfortable stool)"". This is either 1-2g of the powdered extract or fruit usually standardized to 10-30mg active sennosides.",,,Senna alexandrina is a plant containing sennosides which possess laxative properties. Potential benefits are context-specific; review the source evidence before using Senna in a protocol. Mechanism details are not clear from the public summary; review the source before applying Senna clinically. Paraphrased from public Examine page extraction; educational only.,gut-health;cognition;exercise;stimulant;hormones,https://examine.com/supplements/senna/,Paraphrased from public Examine page extraction; educational only.
Serrapeptase,Gut Health,Serrapeptase is an enzyme derived from silkworms.,Gut Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Serrapeptase is discussed in relation to oxidative-stress or inflammatory pathways.,"The standard dose for serrapeptase is 10-60mg. Serrapeptase should be supplemented on an empty stomach, which is 30 minutes before a meal or two hours after a meal, three times a day. Most studies use 10mg of serrapeptase taken every eight hours. More human evidence is needed to determine the optimal dose of serrapeptase. 10mg of serrapeptase is equal to approximately 20,000 enzymatic units.",With or shortly after meals.,,Serrapeptase is an enzyme derived from silkworms. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Serrapeptase is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.,gut-health;inflammation,https://examine.com/supplements/serrapeptase/,Paraphrased from public Examine page extraction; educational only.
Sesamin,Gut Health,"Sesamin is a lignan derived from sesame seeds (Sesamum indicum) that appears to inhibit vitamin E metabolism, which causes a relative increase in circulating levels of γ-tocopherol and γ-tocotrienol; it shows most promise in augmenting the efficacy of vitamin",Gut Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Sesamin is discussed in relation to oxidative-stress or inflammatory pathways.,"There are limited human studies on sesamin, but it appears that oral ingestion of around 100-150mg of sesamin is sufficient to raise bodily sesamin stores to the level where it can preserve Vitamin E in the body; this indirect antioxidative effect may be the most practical reason to supplement sesamin. If using sesame seeds to get your sesamin from,",,,"Sesamin is a lignan derived from sesame seeds (Sesamum indicum) that appears to inhibit vitamin E metabolism, which causes a relative increase in circulating levels of γ-tocopherol and γ-tocotrienol; it shows most promise in augmenting the efficacy of vitamin Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Sesamin is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction;",gut-health;inflammation;hormones,https://examine.com/supplements/sesamin/,Paraphrased from public Examine page extraction; educational only.
Shatavari,Mental Health,Asparagus racemosus is an herb used in Ayurveda medicine.,Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Shatavari clinically.,"Rat studies using the root of Asparagus racemosus (Note: this is not the vegetable commonly called asparagus) use doses in the 100-200mg/kg of bodyweight range. This translates to an estimated human dose of 16-32 mg/kg of bodyweight, or: • 1,100-2,200 mg for a 150lb person • 1,400-2,900 mg for a 200lb person • 1,800-3,600 mg for a 250lb person The dosage ranges above are based on rat studies.",,,Asparagus racemosus is an herb used in Ayurveda medicine. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Shatavari clinically. Paraphrased from public Examine page extraction; educational only.,mental-health;gut-health;hormones,https://examine.com/supplements/shatavari/,Paraphrased from public Examine page extraction; educational only.
Shilajit,General Health,Shilajit is a natural compound that seeps out of sedimentary rock in certain regions of the world.,General Health,Potential benefits are context-specific; review the source evidence before using Shilajit in a protocol.,Shilajit is discussed in relation to oxidative-stress or inflammatory pathways.,"Shilajit is usually processed into a powder or taken in a purified resin form. The exact composition of shilajit can vary based on geographical region, which may also impact its biological effects.[1] Ideally, a product should be standardized to contain a certain amount of fulvic acid, DBPs, and DCPs. For example, PrimaVie — a patented,",,,Shilajit is a natural compound that seeps out of sedimentary rock in certain regions of the world. Potential benefits are context-specific; review the source evidence before using Shilajit in a protocol. Shilajit is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.,general-health;cognition;exercise;inflammation;hormones,https://examine.com/supplements/shilajit/,Paraphrased from public Examine page extraction; educational only.
Shirazi Thyme,General Health,"Zataria multiflora, or Shirazi thyme, is a thyme-like plant in the mint family, and it is traditionally used for respiratory health.",General Health,Potential benefits are context-specific; review the source evidence before using Shirazi Thyme in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Shirazi Thyme clinically.,No clear public dosage summary extracted; review source before use.,,,"Zataria multiflora, or Shirazi thyme, is a thyme-like plant in the mint family, and it is traditionally used for respiratory health. Potential benefits are context-specific; review the source evidence before using Shirazi Thyme in a protocol. Mechanism details are not clear from the public summary; review the source before applying Shirazi Thyme clinically. Check pregnancy/lactation safety before client use.",general-health,https://examine.com/supplements/shirazi-thyme/,Check pregnancy/lactation safety before client use.
Shivlingi,General Health,"An Ayurveda herb used traditionally as an aphrodisiac and pro-fertility compound, touted to increase masculinity and enhance youthfulness during aging.",General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Shivlingi clinically.,No clear public dosage summary extracted; review source before use.,,,"An Ayurveda herb used traditionally as an aphrodisiac and pro-fertility compound, touted to increase masculinity and enhance youthfulness during aging. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Shivlingi clinically. Check pregnancy/lactation safety before client use.",general-health;hormones,https://examine.com/supplements/shivlingi/,Check pregnancy/lactation safety before client use.
Short-Chain Fatty Acids,Gut Health,"Short-chain fatty acids (SCFAs) include butyrate, propionate, and acetate.",Gut Health,Potential benefits are context-specific; review the source evidence before using Short-Chain Fatty Acids in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Short-Chain Fatty Acids clinically.,No clear public dosage summary extracted; review source before use.,,,"Short-chain fatty acids (SCFAs) include butyrate, propionate, and acetate. Potential benefits are context-specific; review the source evidence before using Short-Chain Fatty Acids in a protocol. Mechanism details are not clear from the public summary; review the source before applying Short-Chain Fatty Acids clinically. Check pregnancy/lactation safety before client use.",gut-health,https://examine.com/supplements/short-chain-fatty-acids/,Check pregnancy/lactation safety before client use.
Silica,Micronutrient,Silica (aka silicon dioxide) is a naturally occurring mineral with the chemical formula SiO2.,Micronutrient,Potential benefits are context-specific; review the source evidence before using Silica in a protocol.,Silica likely works by correcting or supporting nutrient-dependent physiological processes.,No clear public dosage summary extracted; review source before use.,,,Silica (aka silicon dioxide) is a naturally occurring mineral with the chemical formula SiO2. Potential benefits are context-specific; review the source evidence before using Silica in a protocol. Silica likely works by correcting or supporting nutrient-dependent physiological processes. Check pregnancy/lactation safety before client use.,micronutrient,https://examine.com/supplements/silica/,Check pregnancy/lactation safety before client use.
Silk Amino Acid (SAA),Metabolic Health,Silk amino acids (SAAs) are amino acids derived from the silkworm cocoon and contain the peptide compounds sericin-S and sericin-L (small and large).,Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"Silk Amino Acid (SAA) is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain.","There is insufficient evidence to recommend an optimal dosage of silk amino acids for human supplementation, although it is known that for any purpose in which silk amino acids need to be absorbed, a hydrolyzed form of the supplement is required. Hydrolyzed silk amino acids are not required if the target is the intestines or colon.",,,"Silk amino acids (SAAs) are amino acids derived from the silkworm cocoon and contain the peptide compounds sericin-S and sericin-L (small and large). Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Silk Amino Acid (SAA) is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain. Paraphrased from public Examine page extraction; educational only.",metabolic-health;gut-health;hormones,https://examine.com/supplements/silk-amino-acids/,Paraphrased from public Examine page extraction; educational only.
Silymarin,General Health,Silymarin is a complex mixture of plant-derived compounds extracted from milk thistle.,General Health,Potential benefits are context-specific; review the source evidence before using Silymarin in a protocol.,Silymarin is discussed in relation to oxidative-stress or inflammatory pathways.,No clear public dosage summary extracted; review source before use.,,,Silymarin is a complex mixture of plant-derived compounds extracted from milk thistle. Potential benefits are context-specific; review the source evidence before using Silymarin in a protocol. Silymarin is discussed in relation to oxidative-stress or inflammatory pathways. Check pregnancy/lactation safety before client use.,general-health;blood-sugar;inflammation,https://examine.com/supplements/silymarin/,Check pregnancy/lactation safety before client use.
Slippery Elm,Gut Health,Slippery elm is a species of tree found in the United States and Canada.,Gut Health,Potential benefits are context-specific; review the source evidence before using Slippery Elm in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Slippery Elm clinically.,"Slippery elm bark can be taken as a tea or in capsules. For sore throats, the tea is likely preferable.",,,Slippery elm is a species of tree found in the United States and Canada. Potential benefits are context-specific; review the source evidence before using Slippery Elm in a protocol. Mechanism details are not clear from the public summary; review the source before applying Slippery Elm clinically. Check pregnancy/lactation safety before client use.,gut-health;cognition;exercise;hormones,https://examine.com/supplements/slippery-elm/,Check pregnancy/lactation safety before client use.
Society Garlic,General Health,"Society garlic is an African herb traditionally used for its anti-infection effects; it may be heart healthy and has some preliminary testicular effects, which suggest that it might increase testosterone levels.",General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Society Garlic clinically.,No clear public dosage summary extracted; review source before use.,,,"Society garlic is an African herb traditionally used for its anti-infection effects; it may be heart healthy and has some preliminary testicular effects, which suggest that it might increase testosterone levels. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Society Garlic clinically. Check pregnancy/lactation safety before client use.",general-health;hormones;heart-health,https://examine.com/supplements/society-garlic/,Check pregnancy/lactation safety before client use.
Sodium Bicarbonate,Muscle Gain & Exercise,Sodium bicarbonate is a buffer that neutralizes acidity in the human body.,Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"Sodium Bicarbonate appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion.","⚠️ Caution: Sodium bicarbonate has contraindications & drug interactions Formulations: Sodium bicarbonate (often referred to as sodium bicarb, bicarb, baking soda, or bicarbonate of soda) is taken as tablets or loose powder when used as a supplement. In clinical practice, bicarbonate is administered intravenously as a solution. ⚠️ Caution: Baking powder is not synonymous with sodium bicarbonate.",,,"Sodium bicarbonate is a buffer that neutralizes acidity in the human body. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Sodium Bicarbonate appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion. Check pregnancy/lactation safety before client use.",muscle-gain-exercise;exercise;stimulant;gut-health;heart-health,https://examine.com/supplements/sodium-bicarbonate/,Check pregnancy/lactation safety before client use.
Sodium Oligomannate,General Health,Sodium Oligomannate is an oligosaccharide derived from marine algae.,General Health,Potential benefits are context-specific; review the source evidence before using Sodium Oligomannate in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Sodium Oligomannate clinically.,No clear public dosage summary extracted; review source before use.,,,Sodium Oligomannate is an oligosaccharide derived from marine algae. Potential benefits are context-specific; review the source evidence before using Sodium Oligomannate in a protocol. Mechanism details are not clear from the public summary; review the source before applying Sodium Oligomannate clinically. Check pregnancy/lactation safety before client use.,general-health,https://examine.com/supplements/sodium-oligomannate/,Check pregnancy/lactation safety before client use.
Soy Isoflavones,General Health,Soy isoflavones are phytoestrogens and are found mainly in soy products.,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Soy Isoflavones clinically.,"Formulation: Soy isoflavones can be taken as pills or as powdered supplements, but they are also found naturally in soy products like tofu that can be added into the diet to increase their intake. Range of dosages studied: Dosages range widely in studies, from about 25 milligrams to 300 milligrams per day of isolated soy isoflavones.","Daily, following dosage notes.",,Soy isoflavones are phytoestrogens and are found mainly in soy products. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Soy Isoflavones clinically. Check pregnancy/lactation safety before client use. Evidence appears limited; human review recommended.,general-health;lipids;hormones;heart-health;experimental,https://examine.com/supplements/soy-isoflavones/,Check pregnancy/lactation safety before client use. Evidence appears limited; human review recommended.
Soy Lecithin,Gut Health,"Soy lecithin is a lecithin (a structural term for a triglyceride with one fatty acid replaced by phosphatic acid conjugates) which delivers a high level of phosphatidylserine (PS), phosphatidylcholine (PC), and phosphatidylinositol (PI).",Gut Health,Potential benefits are context-specific; review the source evidence before using Soy Lecithin in a protocol.,Soy Lecithin may influence choline availability and acetylcholine-related signaling.,"Supplementation of soy lecithin seems to be in the range of 500-2,000mg. While it does not require to be taken with a meal, it is usually recommended to do so out of prudency. Alternatively, soy lecithin can be dosed in accordance with phosphatidylcholine dosing.",With or shortly after meals.,,"Soy lecithin is a lecithin (a structural term for a triglyceride with one fatty acid replaced by phosphatic acid conjugates) which delivers a high level of phosphatidylserine (PS), phosphatidylcholine (PC), and phosphatidylinositol (PI). Potential benefits are context-specific; review the source evidence before using Soy Lecithin in a protocol. Soy Lecithin may influence choline availability and acetylcholine-related signaling. Check pregnancy/lactation safety before client use.",gut-health;lipids;cognition;exercise;hormones,https://examine.com/supplements/soy-lecithin/,Check pregnancy/lactation safety before client use.
Soy Protein,General Health,Soy protein refers to protein that is derived from soybeans.,General Health,Potential benefits are context-specific; review the source evidence before using Soy Protein in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Soy Protein clinically.,No clear public dosage summary extracted; review source before use.,,,Soy protein refers to protein that is derived from soybeans. Potential benefits are context-specific; review the source evidence before using Soy Protein in a protocol. Mechanism details are not clear from the public summary; review the source before applying Soy Protein clinically. Check pregnancy/lactation safety before client use.,general-health,https://examine.com/supplements/soy-protein/,Check pregnancy/lactation safety before client use.
